filepath,label,class_name
Data\train\bottle-blue\POSAD_1_11-Sep_08-43-15_01.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_11-Sep_08-43-15_02.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_11-Sep_08-46-51_01.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_11-Sep_08-46-51_02.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_11-Sep_09-05-25_01.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_11-Sep_09-43-28_01.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_11-Sep_09-52-44_01.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_11-Sep_09-52-44_02.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_11-Sep_09-54-38_01.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_11-Sep_09-58-36_01.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_11-Sep_10-00-53_01.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_11-Sep_10-20-36_01.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_11-Sep_10-44-28_01.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_11-Sep_10-52-15_01.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_11-Sep_11-02-17_01.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_11-Sep_11-02-17_02.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_11-Sep_11-03-48_01.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_11-Sep_11-53-28_01.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_11-Sep_11-53-28_02.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_11-Sep_11-53-51_01.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_11-Sep_12-05-46_01.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_11-Sep_12-09-34_01.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_11-Sep_12-12-35_01.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_11-Sep_12-37-26_01.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_11-Sep_12-49-22_01.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_11-Sep_12-52-35_01.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_11-Sep_12-52-35_02.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_11-Sep_12-52-35_03.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_11-Sep_12-53-32_02.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_11-Sep_12-54-28_01.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_11-Sep_14-04-24_01.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_11-Sep_14-06-30_01.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_11-Sep_14-12-10_01.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_11-Sep_14-12-22_01.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_11-Sep_14-16-20_01.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_11-Sep_14-17-28_01.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_11-Sep_14-18-25_01.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_11-Sep_14-18-59_01.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_11-Sep_14-25-25_01.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_11-Sep_14-29-13_01.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_11-Sep_14-29-13_02.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_11-Sep_14-38-53_01.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_11-Sep_14-41-20_01.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_11-Sep_14-56-30_01.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_11-Sep_15-03-08_01.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_11-Sep_15-03-08_02.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_11-Sep_15-03-08_04.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_11-Sep_15-26-27_01.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_11-Sep_16-06-04_01.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_11-Sep_16-12-07_01.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_11-Sep_16-13-38_01.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_11-Sep_16-25-12_01.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_11-Sep_16-29-11_01.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_11-Sep_16-55-20_01.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_11-Sep_16-55-20_02.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_11-Sep_16-57-47_01.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_11-Sep_16-57-47_02.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_11-Sep_17-07-16_01.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_11-Sep_17-07-16_02.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_11-Sep_17-17-52_01.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_11-Sep_17-19-12_01.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_11-Sep_17-20-54_01.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_11-Sep_17-21-05_01.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_11-Sep_17-26-58_01.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_11-Sep_17-34-22_01.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_11-Sep_17-56-32_01.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_11-Sep_18-18-42_01.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_11-Sep_18-26-28_01.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_11-Sep_18-28-44_01.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_11-Sep_18-38-02_01.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_11-Sep_18-44-06_01.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_11-Sep_18-44-06_02.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_12-Sep_08-27-13_01.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_12-Sep_09-15-20_01.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_12-Sep_09-44-07_02.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_12-Sep_09-44-07_03.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_12-Sep_09-46-57_01.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_12-Sep_10-07-48_01.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_12-Sep_10-17-06_01.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_12-Sep_10-27-43_01.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_12-Sep_10-27-43_02.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_12-Sep_10-33-01_01.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_12-Sep_10-37-00_01.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_12-Sep_10-37-23_01.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_12-Sep_10-40-13_01.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_12-Sep_10-56-19_01.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_12-Sep_11-14-42_01.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_12-Sep_11-19-14_01.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_12-Sep_11-19-14_02.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_12-Sep_11-29-07_01.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_12-Sep_11-36-07_01.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_12-Sep_12-17-03_01.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_12-Sep_12-20-28_01.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_12-Sep_12-31-16_02.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_12-Sep_12-32-36_01.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_12-Sep_12-33-44_01.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_12-Sep_12-34-18_01.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_12-Sep_12-49-05_01.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_12-Sep_12-52-29_01.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_12-Sep_12-55-20_01.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_12-Sep_14-04-30_01.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_12-Sep_14-05-50_01.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_12-Sep_14-05-50_02.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_12-Sep_14-06-01_01.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_12-Sep_14-09-37_01.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_12-Sep_14-13-12_01.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_12-Sep_14-14-43_01.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_12-Sep_14-17-57_01.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_12-Sep_14-17-57_02.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_12-Sep_14-18-31_01.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_12-Sep_14-20-14_01.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_12-Sep_14-22-53_01.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_12-Sep_14-22-53_02.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_12-Sep_14-23-04_01.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_12-Sep_14-23-04_02.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_12-Sep_14-23-50_01.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_12-Sep_14-31-24_01.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_12-Sep_14-48-38_02.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_12-Sep_14-55-16_01.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_12-Sep_14-55-27_01.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_12-Sep_14-55-38_01.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_12-Sep_14-55-38_02.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_12-Sep_15-00-12_01.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_12-Sep_15-00-12_02.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_12-Sep_15-01-43_01.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_12-Sep_15-09-51_01.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_12-Sep_15-15-54_01.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_12-Sep_15-17-25_01.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_12-Sep_15-17-25_02.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_12-Sep_15-18-11_01.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_12-Sep_15-20-27_02.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_12-Sep_15-31-38_01.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_12-Sep_15-31-38_02.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_12-Sep_15-33-54_01.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_12-Sep_15-36-33_01.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_12-Sep_15-37-30_01.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_12-Sep_15-45-40_01.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_12-Sep_15-46-25_01.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_12-Sep_15-50-57_01.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_12-Sep_15-55-53_01.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_12-Sep_15-57-24_01.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_12-Sep_16-10-28_01.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_12-Sep_16-11-25_01.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_12-Sep_16-13-30_01.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_12-Sep_16-16-43_01.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_12-Sep_16-24-29_01.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_12-Sep_16-26-22_01.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_12-Sep_16-27-08_01.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_12-Sep_16-27-08_02.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_12-Sep_16-27-08_03.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_12-Sep_16-40-01_01.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_12-Sep_16-40-01_02.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_12-Sep_16-40-01_03.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_12-Sep_16-59-44_01.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_12-Sep_17-00-52_01.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_12-Sep_17-02-11_01.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_12-Sep_17-09-46_01.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_12-Sep_17-23-25_01.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_12-Sep_17-48-04_01.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_12-Sep_17-48-04_02.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_12-Sep_17-49-35_01.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_12-Sep_17-58-18_01.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_12-Sep_18-07-24_01.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_12-Sep_18-17-39_01.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_12-Sep_18-21-15_01.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_12-Sep_18-24-51_01.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_12-Sep_18-25-14_01.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_12-Sep_18-31-17_01.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_12-Sep_18-31-17_02.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_12-Sep_18-32-03_01.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_12-Sep_18-32-03_02.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_12-Sep_18-33-11_01.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_12-Sep_18-43-03_01.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_12-Sep_18-44-11_01.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_12-Sep_20-15-56_01.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_12-Sep_20-17-49_01.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_12-Sep_20-22-33_01.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_12-Sep_20-23-41_01.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_12-Sep_20-24-04_01.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_12-Sep_20-26-09_01.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_12-Sep_20-26-09_02.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_12-Sep_20-26-09_03.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_12-Sep_20-26-32_01.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_12-Sep_20-29-46_01.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_12-Sep_20-29-57_01.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_12-Sep_20-29-57_02.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_12-Sep_20-35-38_01.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_12-Sep_20-39-37_01.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_12-Sep_20-39-37_03.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_12-Sep_20-41-19_01.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_12-Sep_20-51-45_01.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_12-Sep_20-51-45_02.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_12-Sep_20-52-19_01.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_12-Sep_20-54-12_01.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_12-Sep_20-58-56_01.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_12-Sep_21-06-42_01.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_12-Sep_21-12-23_02.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_12-Sep_21-12-34_02.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_12-Sep_21-13-43_01.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_12-Sep_21-34-33_01.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_12-Sep_21-34-33_02.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_12-Sep_21-39-29_01.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_12-Sep_21-40-37_01.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_12-Sep_21-40-49_01.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_12-Sep_22-00-31_01.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_12-Sep_22-09-13_01.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_12-Sep_22-09-13_02.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_12-Sep_22-09-36_01.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_12-Sep_22-13-35_01.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_12-Sep_22-17-44_01.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_12-Sep_22-21-33_01.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_12-Sep_22-22-30_01.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_12-Sep_22-22-30_02.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_12-Sep_22-39-20_01.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_12-Sep_22-42-12_01.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_12-Sep_22-48-27_01.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_12-Sep_22-51-17_01.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_12-Sep_22-53-45_01.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_12-Sep_22-55-50_01.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_12-Sep_23-00-11_01.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_12-Sep_23-00-56_01.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_12-Sep_23-12-53_01.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_12-Sep_23-12-53_02.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_12-Sep_23-16-06_01.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_12-Sep_23-17-48_01.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_12-Sep_23-19-31_01.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_12-Sep_23-21-01_01.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_12-Sep_23-23-40_01.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_12-Sep_23-23-40_02.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_12-Sep_23-25-35_01.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_12-Sep_23-27-17_01.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_12-Sep_23-27-40_01.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_12-Sep_23-37-30_01.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_12-Sep_23-43-11_01.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_12-Sep_23-45-27_01.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_12-Sep_23-46-02_01.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_12-Sep_23-54-11_01.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_13-Sep_00-07-15_01.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_13-Sep_00-20-32_01.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_13-Sep_00-20-32_02.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_13-Sep_00-27-09_01.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_13-Sep_00-27-09_02.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_13-Sep_00-34-45_01.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_13-Sep_00-34-45_02.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_13-Sep_00-37-36_01.jpg,0,bottle-blue
Data\train\bottle-blue\POSAD_1_13-Sep_00-46-52_01.jpg,0,bottle-blue
